起始时刻,结束时刻,记录数,原始开始索引,原始结束索引,总秒数,怠速秒数,加速秒数,匀速秒数,减速秒数
2017-12-18 13:42:13,2017-12-18 13:43:21,69,0,68,69,8,26,16,19
2017-12-18 13:43:21,2017-12-18 13:49:30,370,68,437,370,97,111,76,86
2017-12-18 13:49:30,2017-12-18 13:51:29,120,437,556,120,24,48,13,35
2017-12-18 13:51:29,2017-12-18 13:55:07,219,556,774,219,73,61,44,41
2017-12-18 13:55:07,2017-12-18 13:57:57,171,774,944,171,34,51,50,36
2017-12-18 13:57:57,2017-12-18 14:01:37,221,944,1164,221,40,92,35,54
2017-12-18 14:01:37,2017-12-18 14:10:00,435,1164,1598,435,53,186,92,104
2017-12-18 14:10:00,2017-12-18 14:15:34,290,1598,1887,290,39,130,41,80
2017-12-18 14:15:34,2017-12-18 14:18:51,196,1887,2082,196,46,80,26,44
2017-12-18 14:19:09,2017-12-18 14:20:53,105,2100,2204,105,35,35,10,25
2017-12-18 14:20:53,2017-12-18 14:23:30,158,2204,2361,158,48,53,16,41
2017-12-18 14:23:30,2017-12-18 14:24:36,67,2361,2427,67,4,31,9,23
2017-12-18 14:24:36,2017-12-18 14:28:05,208,2427,2634,208,39,79,29,61
2017-12-18 14:28:05,2017-12-18 14:29:16,72,2634,2705,72,13,23,11,25
2017-12-18 14:29:16,2017-12-18 14:29:37,22,2705,2726,22,7,8,1,6
2017-12-18 14:29:37,2017-12-18 14:31:21,105,2726,2830,105,25,32,15,33
2017-12-18 14:31:21,2017-12-18 14:32:00,40,2830,2869,40,27,2,6,5
2017-12-18 14:32:37,2017-12-18 14:33:17,41,2906,2946,41,11,11,8,11
2017-12-18 14:33:21,2017-12-18 14:34:13,53,2950,3002,53,5,19,15,14
2017-12-18 14:34:56,2017-12-18 14:35:55,60,3045,3104,60,3,24,13,20
2017-12-18 14:35:55,2017-12-18 14:37:22,88,3104,3191,88,10,25,17,36
2017-12-18 14:38:11,2017-12-18 14:41:54,224,3240,3463,224,11,90,41,82
2017-12-18 14:41:54,2017-12-18 14:43:32,99,3463,3561,99,33,28,17,21
2017-12-18 14:43:32,2017-12-18 14:45:19,108,3561,3668,108,44,30,15,19
2017-12-18 14:45:19,2017-12-18 14:47:00,102,3668,3769,102,43,29,13,17
2017-12-18 14:47:00,2017-12-18 14:47:49,50,3769,3818,50,26,9,3,12
2017-12-18 14:47:49,2017-12-18 14:50:52,184,3818,4001,184,77,49,25,33
2017-12-18 14:51:03,2017-12-18 14:52:55,113,4012,4124,113,15,45,18,35
2017-12-18 15:00:26,2017-12-18 15:02:10,105,4268,4372,105,25,39,16,25
2017-12-18 15:02:10,2017-12-18 15:05:50,221,4372,4592,221,9,93,42,77
2017-12-18 15:05:50,2017-12-18 15:07:33,104,4592,4695,104,40,26,16,22
2017-12-18 15:07:33,2017-12-18 15:08:10,38,4695,4732,38,17,6,7,8
2017-12-18 15:08:10,2017-12-18 15:09:20,71,4732,4802,71,20,24,9,18
2017-12-18 15:09:20,2017-12-18 15:10:00,41,4802,4842,41,30,3,1,7
2017-12-18 15:10:00,2017-12-18 15:10:35,36,4842,4877,36,7,12,8,9
2017-12-18 15:10:35,2017-12-18 15:11:32,58,4877,4934,58,6,18,15,19
2017-12-18 15:11:32,2017-12-18 15:12:02,31,4934,4964,31,13,6,3,9
2017-12-18 15:12:02,2017-12-18 15:12:27,26,4964,4989,26,13,7,3,3
2017-12-18 15:12:27,2017-12-18 15:13:00,34,4989,5022,34,11,13,4,6
2017-12-18 15:39:01,2017-12-18 15:40:47,107,5048,5154,107,50,24,10,23
2017-12-18 15:40:47,2017-12-18 15:43:43,175,5154,5328,175,44,57,30,44
2017-12-18 15:43:43,2017-12-18 15:45:02,78,5328,5405,78,22,19,26,11
2017-12-18 15:45:02,2017-12-18 15:48:16,68,5405,5472,68,6,27,14,21
2017-12-18 15:48:22,2017-12-18 15:50:07,106,5478,5583,106,2,51,16,37
2017-12-18 15:50:07,2017-12-18 15:52:42,154,5583,5736,154,50,43,30,31
2017-12-18 16:15:51,2017-12-18 16:17:14,84,5856,5939,84,47,18,3,16
2017-12-18 16:17:14,2017-12-18 16:18:13,60,5939,5998,60,26,15,7,12
2017-12-18 16:18:13,2017-12-18 16:18:46,34,5998,6031,34,22,4,3,5
2017-12-18 16:18:46,2017-12-18 16:20:14,89,6031,6119,89,35,23,15,16
2017-12-18 16:20:14,2017-12-18 16:20:59,46,6119,6164,46,6,17,4,19
2017-12-18 16:20:59,2017-12-18 16:22:51,113,6164,6276,113,89,14,4,6
2017-12-18 16:22:51,2017-12-18 16:24:17,87,6276,6362,87,5,42,20,20
2017-12-18 16:24:17,2017-12-18 16:28:28,191,6362,6552,191,96,53,13,29
2017-12-18 16:28:28,2017-12-18 16:30:21,114,6552,6665,114,21,44,25,24
2017-12-18 16:30:21,2017-12-18 16:31:08,48,6665,6712,48,3,28,4,13
2017-12-18 16:31:08,2017-12-18 16:31:59,52,6712,6763,52,7,20,8,17
2017-12-18 16:42:09,2017-12-18 16:42:53,45,6803,6847,45,3,11,17,14
2017-12-18 17:23:20,2017-12-18 17:27:59,107,7058,7164,107,3,33,29,42
2017-12-18 17:27:59,2017-12-18 17:30:41,163,7164,7326,163,32,65,30,36
2017-12-18 17:30:41,2017-12-18 17:31:59,79,7326,7404,79,12,32,17,18
2017-12-18 17:44:03,2017-12-18 17:44:44,42,7438,7479,42,33,2,3,4
2017-12-18 17:45:00,2017-12-18 17:45:21,22,7495,7516,22,5,5,9,3
2017-12-18 17:45:29,2017-12-18 17:46:10,42,7524,7565,42,24,8,2,8
2017-12-18 17:46:10,2017-12-18 17:48:30,141,7565,7705,141,4,63,26,48
2017-12-18 17:48:30,2017-12-18 17:50:06,44,7705,7748,44,7,27,3,7
2017-12-18 17:50:06,2017-12-18 17:51:53,108,7748,7855,108,17,38,22,31
2017-12-18 17:52:05,2017-12-18 17:54:25,141,7867,8007,141,60,42,14,25
2017-12-18 17:54:25,2017-12-18 18:00:45,381,8007,8387,381,7,150,133,91
2017-12-18 18:00:45,2017-12-18 18:09:55,546,8387,8932,546,18,175,181,172
2017-12-18 18:09:55,2017-12-18 18:10:32,38,8932,8969,38,16,13,4,5
2017-12-18 18:10:32,2017-12-18 18:13:32,181,8969,9149,181,55,56,26,44
2017-12-18 18:13:32,2017-12-18 18:14:43,72,9149,9220,72,51,9,7,5
2017-12-18 18:14:43,2017-12-18 18:16:56,134,9220,9353,134,88,19,12,15
2017-12-18 18:16:59,2017-12-18 18:17:22,24,9356,9379,24,9,7,4,4
2017-12-18 20:06:13,2017-12-18 20:06:45,33,10038,10070,33,18,5,4,6
2017-12-18 20:06:45,2017-12-18 20:13:48,424,10070,10493,424,3,142,145,134
2017-12-18 20:13:48,2017-12-18 20:17:30,223,10493,10715,223,26,67,66,64
2017-12-18 20:17:30,2017-12-18 20:20:11,162,10715,10876,162,61,46,24,31
2017-12-18 21:08:17,2017-12-18 21:12:06,230,11005,11234,230,4,79,83,64
2017-12-18 21:30:38,2017-12-18 21:34:22,223,12015,12237,223,3,83,54,83
2017-12-18 21:34:22,2017-12-18 21:34:45,24,12237,12260,24,18,3,0,3
2017-12-18 21:34:45,2017-12-18 21:35:07,23,12260,12282,23,5,11,1,6
2017-12-18 21:35:07,2017-12-18 21:37:00,114,12282,12395,114,15,40,26,33
2017-12-18 21:37:00,2017-12-18 21:46:39,517,12395,12911,517,9,208,122,178
2017-12-18 21:46:39,2017-12-18 21:53:59,397,12911,13307,397,30,161,114,92
2017-12-18 21:53:59,2017-12-18 21:56:24,146,13307,13452,146,3,66,28,49
2017-12-18 21:56:32,2017-12-18 22:06:45,376,13460,13835,376,13,111,157,95
2017-12-18 22:06:45,2017-12-18 22:08:39,115,13835,13949,115,11,50,20,34
2017-12-18 22:08:39,2017-12-18 22:10:54,136,13949,14084,136,3,53,33,47
2017-12-18 22:10:54,2017-12-18 22:13:00,127,14084,14210,127,67,31,15,14
2017-12-18 22:13:00,2017-12-18 22:22:42,492,14210,14701,492,30,195,109,158
2017-12-18 22:22:42,2017-12-18 22:24:54,133,14701,14833,133,8,53,27,45
2017-12-18 22:24:54,2017-12-18 22:25:14,21,14833,14853,21,13,3,1,4
2017-12-18 22:25:14,2017-12-18 22:26:53,100,14853,14952,100,26,33,11,30
2017-12-18 22:34:35,2017-12-18 22:35:49,75,15074,15148,75,48,13,4,10
2017-12-18 22:35:49,2017-12-18 22:36:34,46,15148,15193,46,31,6,1,8
2017-12-18 22:36:34,2017-12-18 22:38:57,144,15193,15336,144,46,35,33,30
2017-12-18 22:38:57,2017-12-18 22:40:33,97,15336,15432,97,21,37,25,14
2017-12-18 22:40:33,2017-12-18 22:50:09,577,15432,16008,577,47,181,211,138
2017-12-18 22:50:54,2017-12-18 22:52:44,111,16053,16163,111,10,55,19,27
2017-12-18 22:52:44,2017-12-18 22:58:26,343,16163,16505,343,7,106,141,89
2017-12-18 22:58:26,2017-12-18 23:02:59,230,16505,16734,230,6,70,74,80
2017-12-18 23:02:59,2017-12-18 23:03:21,23,16734,16756,23,17,3,0,3
2017-12-18 23:35:52,2017-12-18 23:36:49,58,16824,16881,58,13,11,17,17
2017-12-18 23:36:49,2017-12-18 23:38:26,98,16881,16978,98,13,34,16,35
2017-12-18 23:38:26,2017-12-18 23:42:11,226,16978,17203,226,57,72,51,46
2017-12-19 00:03:32,2017-12-19 00:25:04,1021,18157,19177,1021,27,345,349,300
2017-12-19 00:25:36,2017-12-19 00:26:20,45,19209,19253,45,23,8,5,9
2017-12-19 00:26:20,2017-12-19 00:27:38,79,19253,19331,79,15,21,13,30
2017-12-19 00:40:00,2017-12-19 00:41:17,78,19536,19613,78,8,45,5,20
2017-12-19 00:41:17,2017-12-19 00:43:47,151,19613,19763,151,87,27,8,29
2017-12-19 00:43:47,2017-12-19 00:44:59,73,19763,19835,73,23,24,1,25
2017-12-19 00:44:59,2017-12-19 00:47:22,112,19835,19946,112,36,43,7,26
2017-12-19 00:47:22,2017-12-19 00:48:57,96,19946,20041,96,27,34,7,28
2017-12-19 00:49:17,2017-12-19 00:50:12,56,20061,20116,56,40,3,6,7
2017-12-19 00:50:12,2017-12-19 00:51:44,93,20116,20208,93,16,32,20,25
2017-12-19 00:52:16,2017-12-19 00:53:22,67,20240,20306,67,8,23,17,19
2017-12-19 00:53:32,2017-12-19 00:55:50,139,20316,20454,139,3,53,45,38
2017-12-19 00:56:39,2017-12-19 00:59:40,182,20503,20684,182,31,63,36,52
2017-12-19 00:59:40,2017-12-19 01:04:13,274,20684,20957,274,133,56,31,54
2017-12-19 01:04:19,2017-12-19 01:04:51,33,20963,20995,33,23,2,3,5
2017-12-19 01:04:51,2017-12-19 01:05:21,31,20995,21025,31,4,10,7,10
2017-12-19 01:05:21,2017-12-19 01:07:43,143,21025,21167,143,99,19,10,15
2017-12-19 01:13:07,2017-12-19 01:14:37,91,21192,21282,91,4,43,21,23
2017-12-19 01:14:37,2017-12-19 01:16:57,141,21282,21422,141,66,38,10,27
2017-12-19 01:16:57,2017-12-19 01:18:17,81,21422,21502,81,27,31,7,16
2017-12-19 01:18:17,2017-12-19 01:21:01,165,21502,21666,165,82,45,13,25
2017-12-19 01:21:01,2017-12-19 01:30:01,403,21666,22068,403,41,141,126,95
2017-12-19 01:30:01,2017-12-19 01:30:53,53,22068,22120,53,11,22,3,17
2017-12-19 01:30:53,2017-12-19 01:32:57,125,22120,22244,125,42,44,15,24
2017-12-19 01:45:04,2017-12-19 01:47:08,125,22428,22552,125,73,35,5,12
2017-12-19 01:47:08,2017-12-19 01:49:45,114,22552,22665,114,4,55,19,36
2017-12-19 01:49:45,2017-12-19 01:50:33,49,22665,22713,49,16,20,5,8
2017-12-19 01:50:33,2017-12-19 01:52:09,97,22713,22809,97,65,16,6,10
2017-12-19 02:04:23,2017-12-19 02:05:16,54,23016,23069,54,13,26,5,10
2017-12-19 02:05:16,2017-12-19 02:14:15,540,23069,23608,540,30,256,100,154
2017-12-19 02:14:18,2017-12-19 02:14:44,27,23611,23637,27,19,3,1,4
2017-12-19 02:14:53,2017-12-19 02:16:47,115,23646,23760,115,3,49,32,31
2017-12-19 02:53:00,2017-12-19 02:54:06,67,23781,23847,67,4,34,12,17
2017-12-19 02:54:06,2017-12-19 02:56:27,142,23847,23988,142,69,43,8,22
2017-12-19 02:56:27,2017-12-19 02:57:44,78,23988,24065,78,39,20,11,8
2017-12-19 02:57:44,2017-12-19 02:59:59,136,24065,24200,136,93,15,9,19
2017-12-19 03:03:08,2017-12-19 03:04:00,53,24389,24441,53,3,27,10,13
2017-12-19 03:04:00,2017-12-19 03:07:38,131,24441,24571,131,34,44,33,20
2017-12-19 03:07:38,2017-12-19 03:09:13,94,24571,24664,94,11,35,15,33
2017-12-19 03:09:13,2017-12-19 03:10:27,75,24664,24738,75,45,14,5,11
2017-12-19 03:10:27,2017-12-19 03:11:53,30,24738,24767,30,7,5,7,11
2017-12-19 03:11:53,2017-12-19 03:14:51,179,24767,24945,179,103,26,21,29
2017-12-19 03:59:27,2017-12-19 04:02:57,211,24960,25170,211,113,38,27,33
2017-12-19 04:02:57,2017-12-19 04:03:50,54,25170,25223,54,3,24,12,15
2017-12-19 04:03:50,2017-12-19 04:05:19,90,25223,25312,90,59,11,9,11
2017-12-19 04:05:19,2017-12-19 04:06:09,51,25312,25362,51,32,5,9,5
2017-12-19 04:06:09,2017-12-19 04:06:53,45,25362,25406,45,13,15,5,12
2017-12-19 04:06:53,2017-12-19 04:15:49,499,25406,25904,499,34,189,121,155
2017-12-19 04:15:49,2017-12-19 04:17:30,102,25904,26005,102,51,26,11,14
2017-12-19 04:17:30,2017-12-19 04:19:16,59,26005,26063,59,13,24,10,12
2017-12-19 04:26:28,2017-12-19 04:35:45,375,26193,26567,375,61,95,123,96
2017-12-19 04:36:17,2017-12-19 04:45:34,421,26599,27019,421,8,163,127,123
2017-12-19 06:45:11,2017-12-19 06:51:42,221,27116,27336,221,38,70,56,57
2017-12-19 06:51:42,2017-12-19 06:59:34,427,27336,27762,427,26,153,123,125
2017-12-19 06:59:34,2017-12-19 07:02:57,156,27762,27917,156,49,56,26,25
2017-12-19 07:02:57,2017-12-19 07:04:10,74,27917,27990,74,4,32,8,30
2017-12-19 07:04:10,2017-12-19 07:23:57,893,27990,28882,893,107,286,267,233
2017-12-19 07:23:57,2017-12-19 07:24:27,31,28882,28912,31,3,1,25,2
2017-12-19 07:24:27,2017-12-19 07:25:04,38,28912,28949,38,19,11,0,8
2017-12-19 07:25:11,2017-12-19 07:26:08,58,28956,29013,58,15,14,10,19
2017-12-19 07:26:08,2017-12-19 07:28:09,122,29013,29134,122,82,14,13,13
2017-12-19 07:28:24,2017-12-19 07:29:12,49,29149,29197,49,7,17,17,8
2017-12-19 07:29:12,2017-12-19 07:29:45,34,29197,29230,34,14,9,2,9
2017-12-19 07:29:45,2017-12-19 07:30:10,26,29230,29255,26,10,5,5,6
2017-12-19 07:30:10,2017-12-19 07:30:47,38,29255,29292,38,11,11,9,7
2017-12-19 07:30:47,2017-12-19 07:32:39,113,29292,29404,113,3,48,27,35
2017-12-19 07:32:39,2017-12-19 07:35:16,158,29404,29561,158,75,37,14,32
2017-12-19 07:36:25,2017-12-19 07:37:26,62,29630,29691,62,7,22,11,22
2017-12-19 07:37:26,2017-12-19 07:37:57,32,29691,29722,32,14,10,2,6
2017-12-19 07:37:57,2017-12-19 07:39:56,120,29722,29841,120,52,30,14,24
2017-12-19 07:39:56,2017-12-19 07:42:32,157,29841,29997,157,56,47,21,33
2017-12-19 07:42:32,2017-12-19 07:44:00,89,29997,30085,89,33,19,20,17
2017-12-19 07:44:00,2017-12-19 07:46:12,133,30085,30217,133,2,54,31,46
2017-12-19 07:46:12,2017-12-19 07:48:10,119,30217,30335,119,64,20,15,20
2017-12-19 07:48:10,2017-12-19 07:50:27,72,30335,30406,72,30,22,9,11
2017-12-19 07:50:27,2017-12-19 07:55:14,243,30406,30648,243,178,29,18,18
2017-12-19 07:55:14,2017-12-19 07:57:31,138,30648,30785,138,95,23,6,14
2017-12-19 07:57:31,2017-12-19 07:59:34,124,30785,30908,124,38,39,18,29
2017-12-19 07:59:34,2017-12-19 08:01:00,87,30908,30994,87,56,10,9,12
2017-12-19 08:01:00,2017-12-19 08:02:46,65,30994,31058,65,34,16,8,7
2017-12-19 08:02:46,2017-12-19 08:03:23,38,31058,31095,38,13,9,8,8
2017-12-19 08:03:30,2017-12-19 08:04:17,48,31102,31149,48,26,8,5,9
2017-12-19 08:04:17,2017-12-19 08:06:31,135,31149,31283,135,75,26,17,17
2017-12-19 08:06:31,2017-12-19 08:07:30,60,31283,31342,60,13,22,8,17
2017-12-19 08:07:30,2017-12-19 08:08:07,38,31342,31379,38,19,12,1,6
2017-12-19 08:08:07,2017-12-19 08:10:33,63,31379,31441,63,38,4,7,14
2017-12-19 08:10:33,2017-12-19 08:12:29,117,31441,31557,117,27,34,16,40
2017-12-19 08:12:29,2017-12-19 08:15:15,167,31557,31723,167,109,24,10,24
2017-12-19 08:15:15,2017-12-19 08:17:27,90,31723,31812,90,44,27,9,10
2017-12-19 08:17:27,2017-12-19 08:23:24,358,31812,32169,358,113,91,81,73
2017-12-19 08:24:47,2017-12-19 08:30:58,200,32252,32451,200,71,59,23,47
2017-12-19 10:59:30,2017-12-19 11:00:35,66,32770,32835,66,2,19,24,21
2017-12-19 11:00:55,2017-12-19 11:01:18,24,32855,32878,24,2,9,4,9
2017-12-19 11:01:18,2017-12-19 11:09:24,221,32878,33098,221,94,46,33,48
2017-12-19 11:09:24,2017-12-19 11:09:58,35,33098,33132,35,18,8,4,5
2017-12-19 11:09:58,2017-12-19 11:11:52,115,33132,33246,115,70,20,13,12
2017-12-19 11:11:52,2017-12-19 11:22:54,462,33246,33707,462,2,177,182,101
2017-12-19 11:22:54,2017-12-19 11:23:56,63,33707,33769,63,28,15,9,11
2017-12-19 11:24:11,2017-12-19 11:27:45,154,33784,33937,154,114,16,4,20
2017-12-19 11:27:45,2017-12-19 11:29:22,98,33937,34034,98,63,13,4,18
2017-12-19 11:31:15,2017-12-19 11:31:37,23,34147,34169,23,18,1,3,1
2017-12-19 11:31:37,2017-12-19 11:37:51,338,34169,34506,338,11,120,86,121
2017-12-19 11:37:51,2017-12-19 11:41:34,91,34506,34596,91,2,33,21,35
2017-12-19 11:41:34,2017-12-19 11:41:55,22,34596,34617,22,12,2,3,5
2017-12-19 11:42:33,2017-12-19 11:43:48,76,34655,34730,76,11,38,7,20
2017-12-19 11:43:48,2017-12-19 11:46:51,184,34730,34913,184,58,62,22,42
2017-12-19 11:46:51,2017-12-19 11:53:30,259,34913,35171,259,73,90,38,58
2017-12-19 11:53:30,2017-12-19 12:00:28,419,35171,35589,419,52,154,96,117
2017-12-19 12:00:28,2017-12-19 12:01:08,41,35589,35629,41,8,13,8,12
2017-12-19 12:01:08,2017-12-19 12:02:04,57,35629,35685,57,32,3,12,10
2017-12-19 12:03:23,2017-12-19 12:04:28,66,35704,35769,66,45,6,6,9
2017-12-19 12:04:28,2017-12-19 12:05:05,38,35769,35806,38,11,12,7,8
2017-12-19 12:05:05,2017-12-19 12:05:26,22,35806,35827,22,17,2,1,2
2017-12-19 12:05:26,2017-12-19 12:05:56,31,35827,35857,31,20,7,0,4
2017-12-19 12:05:56,2017-12-19 12:06:30,35,35857,35891,35,10,13,4,8
2017-12-19 12:06:30,2017-12-19 12:07:05,36,35891,35926,36,8,14,3,11
2017-12-19 12:07:05,2017-12-19 12:07:29,25,35926,35950,25,13,6,3,3
2017-12-19 12:07:29,2017-12-19 12:08:41,73,35950,36022,73,18,18,16,21
2017-12-19 12:08:56,2017-12-19 12:10:30,95,36037,36131,95,46,20,9,20
2017-12-19 12:10:30,2017-12-19 12:10:58,29,36131,36159,29,13,6,3,7
2017-12-19 12:10:58,2017-12-19 12:11:45,48,36159,36206,48,16,12,10,10
2017-12-19 12:12:04,2017-12-19 12:12:58,55,36225,36279,55,22,16,4,13
2017-12-19 12:13:11,2017-12-19 12:14:13,63,36292,36354,63,25,16,1,21
2017-12-19 12:14:17,2017-12-19 12:14:37,21,36358,36378,21,16,2,1,2
2017-12-19 12:14:37,2017-12-19 12:29:09,656,36378,37033,656,11,307,129,209
2017-12-19 12:29:09,2017-12-19 12:32:12,184,37033,37216,184,10,91,28,55
2017-12-19 12:32:12,2017-12-19 12:36:36,265,37216,37480,265,58,90,43,74
2017-12-19 12:36:36,2017-12-19 12:38:28,110,37480,37589,110,60,18,9,23
2017-12-19 12:38:28,2017-12-19 12:40:41,80,37589,37668,80,26,18,6,30
2017-12-19 12:40:47,2017-12-19 12:42:04,78,37674,37751,78,24,27,9,18
2017-12-19 12:50:20,2017-12-19 12:52:55,156,37780,37935,156,70,31,22,33
2017-12-19 13:35:01,2017-12-19 13:35:54,54,38081,38134,54,6,23,6,19
2017-12-19 13:35:54,2017-12-19 13:37:43,108,38134,38241,108,6,40,24,38
2017-12-19 13:37:43,2017-12-19 13:39:56,129,38241,38369,129,12,47,24,46
2017-12-19 13:39:56,2017-12-19 13:46:19,128,38369,38496,128,42,29,15,42
2017-12-19 13:46:19,2017-12-19 13:48:33,135,38496,38630,135,26,49,15,45
2017-12-19 13:56:14,2017-12-19 13:58:15,122,38652,38773,122,1,47,27,47
2017-12-19 13:58:15,2017-12-19 14:00:11,117,38773,38889,117,21,42,21,33
2017-12-19 14:00:11,2017-12-19 14:01:54,104,38889,38992,104,8,47,11,38
2017-12-19 14:01:54,2017-12-19 14:05:26,68,38992,39059,68,3,20,18,27
2017-12-19 14:05:26,2017-12-19 14:08:47,202,39059,39260,202,88,51,34,29
2017-12-19 14:08:47,2017-12-19 14:11:03,90,39260,39349,90,36,32,11,11
2017-12-19 15:05:18,2017-12-19 15:09:57,112,41272,41383,112,40,24,25,23
2017-12-19 15:09:57,2017-12-19 15:12:28,152,41383,41534,152,33,70,14,35
2017-12-19 16:35:46,2017-12-19 16:36:22,37,42898,42934,37,29,2,2,4
2017-12-19 16:36:22,2017-12-19 16:37:51,90,42934,43023,90,34,34,6,16
2017-12-19 16:37:51,2017-12-19 16:39:42,112,43023,43134,112,9,40,16,47
2017-12-19 16:39:46,2017-12-19 16:40:32,47,43138,43184,47,12,18,6,11
2017-12-19 17:24:02,2017-12-19 17:24:31,30,44094,44123,30,21,2,3,4
2017-12-19 17:24:31,2017-12-19 17:31:48,387,44123,44509,387,20,176,98,93
2017-12-19 17:31:48,2017-12-19 17:32:12,25,44509,44533,25,4,6,5,10
2017-12-19 17:32:12,2017-12-19 17:32:34,23,44533,44555,23,10,6,1,6
2017-12-19 18:12:02,2017-12-19 18:24:23,522,46165,46686,522,7,197,181,137
2017-12-19 18:24:23,2017-12-19 18:27:20,136,46686,46821,136,30,45,36,25
2017-12-19 18:38:00,2017-12-19 18:44:30,202,47161,47362,202,20,64,71,47
2017-12-19 18:44:36,2017-12-19 18:50:04,275,47368,47642,275,2,118,68,87
2017-12-19 18:50:04,2017-12-19 18:50:32,29,47642,47670,29,8,8,5,8
2017-12-19 18:50:32,2017-12-19 18:52:17,106,47670,47775,106,9,49,18,30
2017-12-19 18:52:17,2017-12-19 18:55:11,175,47775,47949,175,19,70,27,59
2017-12-19 18:55:11,2017-12-19 19:08:42,725,47949,48673,725,44,273,200,208
2017-12-19 19:08:42,2017-12-19 19:19:32,525,48673,49197,525,3,212,109,201
2017-12-19 19:19:32,2017-12-19 19:20:03,32,49197,49228,32,13,12,1,6
2017-12-19 19:20:03,2017-12-19 19:20:46,44,49228,49271,44,6,11,12,15
2017-12-19 19:20:46,2017-12-19 19:21:18,33,49271,49303,33,22,5,0,6
2017-12-20 06:06:51,2017-12-20 06:09:40,170,49429,49598,170,54,43,29,44
2017-12-20 06:21:18,2017-12-20 06:22:25,68,49800,49867,68,32,5,21,10
2017-12-20 06:22:45,2017-12-20 06:27:38,204,49887,50090,204,10,88,40,66
2017-12-20 07:02:35,2017-12-20 07:03:44,70,50347,50416,70,2,22,21,25
2017-12-20 07:03:57,2017-12-20 07:04:24,28,50429,50456,28,3,7,8,10
2017-12-20 07:04:24,2017-12-20 07:07:37,109,50456,50564,109,4,35,30,40
2017-12-20 07:07:54,2017-12-20 07:08:38,45,50581,50625,45,12,16,5,12
2017-12-20 07:08:38,2017-12-20 07:10:17,100,50625,50724,100,32,25,14,29
2017-12-20 07:10:28,2017-12-20 07:13:23,176,50735,50910,176,15,62,43,56
2017-12-20 07:14:13,2017-12-20 07:15:04,52,50960,51011,52,3,25,10,14
